"cause_name","sex","age","deaths"
"Atrial fibrillation and flutter","Male","65 to 69",72.63886310339
"Atrial fibrillation and flutter","Male","70 to 74",108.89877600098
"Atrial fibrillation and flutter","Male","75 to 79",122.38273193502
"Atrial fibrillation and flutter","Male","80 plus",230.93651042461
"Attention-deficit/hyperactivity disorder","Female","10 to 14",NA
"Attention-deficit/hyperactivity disorder","Female","15 to 19",NA
"Attention-deficit/hyperactivity disorder","Female","20 to 24",NA
"Attention-deficit/hyperactivity disorder","Female","25 to 29",NA
"Attention-deficit/hyperactivity disorder","Female","30 to 34",NA
"Attention-deficit/hyperactivity disorder","Female","35 to 39",NA
"Attention-deficit/hyperactivity disorder","Female","40 to 44",NA
"Attention-deficit/hyperactivity disorder","Female","45 to 49",NA
"Attention-deficit/hyperactivity disorder","Female","5 to 9",NA
"Attention-deficit/hyperactivity disorder","Female","50 to 54",NA
"Attention-deficit/hyperactivity disorder","Female","55 to 59",NA
"Attention-deficit/hyperactivity disorder","Female","60 to 64",NA
"Attention-deficit/hyperactivity disorder","Female","65 to 69",NA
"Attention-deficit/hyperactivity disorder","Female","70 to 74",NA
"Attention-deficit/hyperactivity disorder","Female","75 to 79",NA
"Attention-deficit/hyperactivity disorder","Female","80 plus",NA
"Attention-deficit/hyperactivity disorder","Female","Under 5",NA
"Attention-deficit/hyperactivity disorder","Male","10 to 14",NA
"Attention-deficit/hyperactivity disorder","Male","15 to 19",NA
"Attention-deficit/hyperactivity disorder","Male","20 to 24",NA
"Attention-deficit/hyperactivity disorder","Male","25 to 29",NA
"Attention-deficit/hyperactivity disorder","Male","30 to 34",NA
"Attention-deficit/hyperactivity disorder","Male","35 to 39",NA
"Attention-deficit/hyperactivity disorder","Male","40 to 44",NA
"Attention-deficit/hyperactivity disorder","Male","45 to 49",NA
"Attention-deficit/hyperactivity disorder","Male","5 to 9",NA
"Attention-deficit/hyperactivity disorder","Male","50 to 54",NA
"Attention-deficit/hyperactivity disorder","Male","55 to 59",NA
"Attention-deficit/hyperactivity disorder","Male","60 to 64",NA
"Attention-deficit/hyperactivity disorder","Male","65 to 69",NA
