"cause_name","sex","age","ylds"
"Bipolar disorder","Female","25 to 29",155517.46411036
"Bipolar disorder","Female","30 to 34",138908.70756676
"Bipolar disorder","Female","35 to 39",113797.08247706
"Bipolar disorder","Female","40 to 44",90116.820598041
"Bipolar disorder","Female","45 to 49",72765.736716525
"Bipolar disorder","Female","50 to 54",58134.465196485
"Bipolar disorder","Female","55 to 59",45911.273308744
"Bipolar disorder","Female","60 to 64",32954.485346285
"Bipolar disorder","Female","65 to 69",21971.237022091
"Bipolar disorder","Female","70 to 74",15392.828740109
"Bipolar disorder","Female","75 to 79",9597.4022095703
"Bipolar disorder","Female","80 plus",5802.3605239138
"Bipolar disorder","Male","10 to 14",11135.519406064
"Bipolar disorder","Male","15 to 19",54273.403097953
"Bipolar disorder","Male","20 to 24",113892.83355611
"Bipolar disorder","Male","25 to 29",133940.20660146
"Bipolar disorder","Male","30 to 34",117580.81083178
"Bipolar disorder","Male","35 to 39",95824.017805965
"Bipolar disorder","Male","40 to 44",75234.077784791
"Bipolar disorder","Male","45 to 49",60262.776307817
"Bipolar disorder","Male","50 to 54",47301.013674538
"Bipolar disorder","Male","55 to 59",36889.004949562
"Bipolar disorder","Male","60 to 64",25204.18882681
"Bipolar disorder","Male","65 to 69",15304.723401492
"Bipolar disorder","Male","70 to 74",10133.62129709
"Bipolar disorder","Male","75 to 79",5966.372823081
"Bipolar disorder","Male","80 plus",3578.9601572978
"Bladder cancer","Female","15 to 19",5.3521204099309
"Bladder cancer","Female","20 to 24",8.6896693421189
"Bladder cancer","Female","25 to 29",10.715344144969
"Bladder cancer","Female","30 to 34",15.110063379914
"Bladder cancer","Female","35 to 39",27.792819351318
"Bladder cancer","Female","40 to 44",50.591437762756
"Bladder cancer","Female","45 to 49",69.391779135948
"Bladder cancer","Female","50 to 54",88.742955123695
"Bladder cancer","Female","55 to 59",116.31014692843
"Bladder cancer","Female","60 to 64",124.73477221309
"Bladder cancer","Female","65 to 69",121.74460324489
"Bladder cancer","Female","70 to 74",102.76976150428
"Bladder cancer","Female","75 to 79",67.491671995722
"Bladder cancer","Female","80 plus",113.94380343127
"Bladder cancer","Male","15 to 19",11.225734913429
"Bladder cancer","Male","20 to 24",25.474858670441
"Bladder cancer","Male","25 to 29",40.005949387407
"Bladder cancer","Male","30 to 34",81.920507414351
"Bladder cancer","Male","35 to 39",139.47690186494
"Bladder cancer","Male","40 to 44",216.39807460471
"Bladder cancer","Male","45 to 49",366.52483868391
"Bladder cancer","Male","50 to 54",622.7217975004
"Bladder cancer","Male","55 to 59",816.68441550182
"Bladder cancer","Male","60 to 64",976.54349541926
"Bladder cancer","Male","65 to 69",825.45691759484
"Bladder cancer","Male","70 to 74",593.87695414939
"Bladder cancer","Male","75 to 79",375.37533575851
"Bladder cancer","Male","80 plus",434.4267197044
"Brain and nervous system cancer","Female","10 to 14",106.35285868702
"Brain and nervous system cancer","Female","15 to 19",183.01589298536
"Brain and nervous system cancer","Female","20 to 24",192.39949699391
"Brain and nervous system cancer","Female","25 to 29",213.72102943286
"Brain and nervous system cancer","Female","30 to 34",235.37622993541
"Brain and nervous system cancer","Female","35 to 39",249.57286387093
"Brain and nervous system cancer","Female","40 to 44",278.52012499747
"Brain and nervous system cancer","Female","45 to 49",388.01200086119
"Brain and nervous system cancer","Female","5 to 9",145.84251683757
"Brain and nervous system cancer","Female","50 to 54",353.74987945585
"Brain and nervous system cancer","Female","55 to 59",413.22460364717
"Brain and nervous system cancer","Female","60 to 64",338.40212822209
"Brain and nervous system cancer","Female","65 to 69",298.45852481223
"Brain and nervous system cancer","Female","70 to 74",173.04444746502
"Brain and nervous system cancer","Female","75 to 79",115.1238378473
"Brain and nervous system cancer","Female","80 plus",83.630707150933
"Brain and nervous system cancer","Female","Under 5",190.34648455355
"Brain and nervous system cancer","Male","10 to 14",363.95749663758
"Brain and nervous system cancer","Male","15 to 19",341.18993029578
"Brain and nervous system cancer","Male","20 to 24",376.17971567281
"Brain and nervous system cancer","Male","25 to 29",478.97274095658
"Brain and nervous system cancer","Male","30 to 34",513.65428119206
"Brain and nervous system cancer","Male","35 to 39",602.76760007175
"Brain and nervous system cancer","Male","40 to 44",490.92797773836
"Brain and nervous system cancer","Male","45 to 49",672.41203979647
"Brain and nervous system cancer","Male","5 to 9",279.67512546265
"Brain and nervous system cancer","Male","50 to 54",661.96565095715
"Brain and nervous system cancer","Male","55 to 59",817.90605018364
"Brain and nervous system cancer","Male","60 to 64",620.46585210064
"Brain and nervous system cancer","Male","65 to 69",481.07862200596
"Brain and nervous system cancer","Male","70 to 74",232.13976147251
"Brain and nervous system cancer","Male","75 to 79",196.13561093492
"Brain and nervous system cancer","Male","80 plus",143.621243017
"Brain and nervous system cancer","Male","Under 5",329.41697796087
"Breast cancer","Female","15 to 19",241.12959277214
"Breast cancer","Female","20 to 24",299.9381442541
"Breast cancer","Female","25 to 29",1354.7128202881
"Breast cancer","Female","30 to 34",2758.1481203695
"Breast cancer","Female","35 to 39",4754.4490120257
"Breast cancer","Female","40 to 44",8087.5370013015
"Breast cancer","Female","45 to 49",11372.369781358
"Breast cancer","Female","50 to 54",11263.165665417
"Breast cancer","Female","55 to 59",11585.624539613
"Breast cancer","Female","60 to 64",10223.232571511
"Breast cancer","Female","65 to 69",8588.3204104542
"Breast cancer","Female","70 to 74",6532.3949408389
"Breast cancer","Female","75 to 79",3750.3001006755
"Breast cancer","Female","80 plus",3117.5113816565
"Breast cancer","Male","15 to 19",44.161185644123
"Breast cancer","Male","20 to 24",31.779035989339
"Breast cancer","Male","25 to 29",57.544364797221
"Breast cancer","Male","30 to 34",62.522031765705
"Breast cancer","Male","35 to 39",93.718707179184
